PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2014;2015;2016;2017;2018
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;wo bachelor;man;27;9;16;24;16
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;wo bachelor;vrouw;12;16;9;9;13
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;wo bachelor;man;15;23;32;0;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;wo bachelor;vrouw;3;6;15;0;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;wo bachelor;man;36;26;42;37;41
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;wo bachelor;vrouw;10;4;7;3;7
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;wo bachelor;man;15;11;12;0;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;wo bachelor;vrouw;27;23;17;0;0
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59325;B Biology;voltijd onderwijs;wo bachelor;man;0;0;0;3;59
Gelderland;0268;Nijmegen;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59325;B Biology;voltijd onderwijs;wo bachelor;vrouw;0;0;0;1;82
